asin,price_mean,price_max,price_min,bsr_mean,bsr_max,bsr_min,score_mean,score_max,score_min,url,upload_date
B089LJL5R4,17.847142857142853,18.99,14.99,6057.714285714286,8272,4005,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LJL5R4.jpg,2020-06-02
B089LG7QR5,18.45,19.95,13.95,6078.75,13374,2364,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LG7QR5.jpg,2020-06-02
B089PG33MJ,20.0,20.0,20.0,7186.5,12354,2664,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089PG33MJ.jpg,2020-06-04
B08637BNBW,17.95,17.95,17.95,8935.125,16168,6551,3.8750000000000004,4.5,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B08637BNBW.jpg,2020-03-18
B085V75X8S,16.99,16.99,16.99,9562.8,12629,6731,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V75X8S.jpg,2020-03-12
B0866THNF7,17.99,17.99,17.99,10128.714285714286,21238,5847,3.857142857142857,4.5,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0866THNF7.jpg,2020-03-20
B085V7K4X7,16.99,16.99,16.99,12652.0,22048,5261,2.5,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V7K4X7.jpg,2020-03-12
B089LCRQPS,18.49,18.49,18.49,12662.875,20570,6109,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCRQPS.jpg,2020-06-02
B089RZQH6H,19.99,19.99,19.99,15931.4,22814,5315,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089RZQH6H.jpg,2020-06-06
B0862149M6,21.99,21.99,21.99,16656.625,23845,9319,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0862149M6.jpg,2020-03-17
B089NGB61C,19.99,19.99,19.99,18084.833333333332,26458,8916,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089NGB61C.jpg,2020-06-03
B085SQTHQD,17.95,17.95,17.95,18221.0,24279,13221,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SQTHQD.jpg,2020-03-11
B089LG5BC5,17.24,17.99,16.99,18410.625,33678,10096,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LG5BC5.jpg,2020-06-02
B0863S8T5Y,17.95,17.95,17.95,18845.5,28381,13738,3.5875000000000004,4.2,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0863S8T5Y.jpg,2020-03-18
B085SQY3GM,17.95,17.95,17.95,19257.75,22836,15205,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SQY3GM.jpg,2020-03-11
B085SK93P2,15.95,15.95,15.95,20080.555555555555,25353,16822,3.0,3.0,3.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SK93P2.jpg,2020-03-11
B089NHMTPG,16.99,16.99,16.99,21729.333333333332,32926,12277,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089NHMTPG.jpg,2020-06-03
B085WRV7H2,17.95,17.95,17.95,23134.4,30388,16308,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085WRV7H2.jpg,2020-03-13
B089LT9HCN,19.99,19.99,19.99,23747.666666666668,37839,14061,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LT9HCN.jpg,2020-06-02
B085SR5MM8,17.95,17.95,17.95,23785.2,32254,15408,4.0,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SR5MM8.jpg,2020-03-11
B086B6T2ZR,16.99,16.99,16.99,24601.25,39253,9193,2.1875,2.5,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B086B6T2ZR.jpg,2020-03-24
