asin	price_mean	price_max	price_min	bsr_mean	bsr_max	bsr_min	bsr_count	score_mean	score_max	score_min	title	time_since_upload	upload_date	product_features	url
B089LJL12T	16.99	16.99	16.99	0.0	0	0	9	0.0	0.0	0.0	Mountainbike Fahrrad Sport MTB Geschenke T-Shirt	15	2020-06-03	['Mountainbike Trikot Evolution Outfit.Bist Du ein Mountainbiker oder ein BMX Radfahrer,lieben Sie touren am Mountain oder im Wald mit Ihrem Fahrrad? Dann ist dieses coole MTB perfekt.Tolle Geschenkidee zum Geburtstag für Radler,Radlerin,Radfahrer,Kinder', 'Das lustiges MTB Evolution Mountainbike Fahrrad biker Design Geschenk für Fahrrad und Sportler Fans Liebhaber, ob Mountainbike Kleidung oder Mountainbike Hose. Genau richtig zum Geburtstag, Vatertag oder Muttertag für Männer, Frauen,Freunde,. Rennradfahrer', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LJL12T.jpg
B085WTRGZR	13.3	13.3	13.3	0.0	0	0	10	0.0	0.0	0.0	Do the Wuhan Shake T-Shirt	97	2020-03-13	['Wuhan Shake Gruß um das Händeschütteln zu vermeiden. Der Gruß mit dem Fuß. Um weitere Ansteckungen zu vermeiden einfach diesen Internet Trend mit nehmen.', 'Wuhan Shake Gruß um das Händeschütteln zu vermeiden. Der Gruß mit dem Fuß. Um weitere Ansteckungen zu vermeiden einfach diesen Internet Trend mit nehmen.', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085WTRGZR.jpg
B089LCR1KV	14.365	16.99	13.99	0.0	0	0	8	0.0	0.0	0.0	Autobahn Nach Gelsenkirchen - Liebe Ruhrpott Kumpel Fan T-Shirt	16	2020-06-02	['Dieses Motiv ist für alle Gelsenkirchen Fans sehr gut geeignet. Zeigt, dass ihr euren Verein über alles Liebt. Mit einem schönen Spruch wird gezeigt, dass ihr für euren Gegner nicht übrig habt. Denn das schönste an Dortmund ist die Autobahn nach Schalke.', 'Mit dem Spruch: Das schönste an Dortmund ist die Autobahn nach Gelsenkirchen und dem tollen Autobahn Motiv machen Gelsenkirchen Fans alles richtig. Zeigt die Leidenschaft für euren Verein und die Abneigung gegenüber des Erzrivalen. Auf gehts Blau Weiss.', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCR1KV.jpg
B085XG8V5J	14.99	14.99	14.99	0.0	0	0	12	0.0	0.0	0.0	K-Pop and Chill Bubble Tea Kawaii Korean Kultur Musik Pop T-Shirt	96	2020-03-14	['Ein amüsantes K-Pop and Chill Motiv mit Bubble Tea Msuik und Kopfhörer. Dieses Kpop Motiv ist ideal für alle Kdrama fashion Fans egal ob Mann, Frau, Junge, Mädchen für jeden der Korea und den Koreanischen Style liebt.', 'Ein amüsantes K-Pop and Chill Motiv mit Bubble Tea Msuik und Kopfhörer. Dieses Kpop Motiv ist ideal für alle Kdrama fashion Fans egal ob Mann, Frau, Junge, Mädchen für jeden der Korea und den Koreanischen Style liebt.', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085XG8V5J.jpg
B08681C4H3	15.99	15.99	15.99	0.0	0	0	11	0.0	0.0	0.0	#StayAtHome Quarantäne Pandemie Panik Zuhause Hmsterkäufe T-Shirt	89	2020-03-21	['#StayAtHome. Diese Gemeinschaft Kleidung ist das perfekte Outfit für die Quarantäne. Ein Outfit für die Isolation. Hilf unseren Hilfskräften das Virus nicht zu verbreiten. Bleib zu Hause für die Risikogruppe. Jeder kann uns unterstützen.', 'Menschen, die Quarantäne, Pandemie, Panik und zuhause lieben, werden dieses Hüft kurze Sommerteil mögen. Es ist mit coolen Sprüchen, lustigen Grafiken und dem Thema virus. Hilf unseren Ärzten, Polizei, Feuerwehr und Krankenschwester bleib zu hause!', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B08681C4H3.jpg
B08622DF8Y	16.99	16.99	16.99	0.0	0	0	11	0.0	0.0	0.0	"Okkult ""The Devil"" Hexen Tarot Gothic Witch Hexe T-Shirt"	93	2020-03-17	"['""The Devil"" Dieses okkult Kleidung ist das perfekte Outfit für Grunge Scene Liebhaber, egal ob Mann oder Frau. Geschnekidee für den Blackcraft Tarot Leger. Schwarze Magie oder nur trendigen vintage look. Spezielles Geschenk für Blackcraft Hexer.', 'Menschen, die Grunge, Witchcraft, Hexen und Tarot praktezieren oder Wahrsager sind, werden das Tolle Geschenk lieben. Es ist mit coolen Sprüchen, lustigen Grafiken und dem Thema Okkult. Einzigartiges Blackcraft mystic outfit.', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']"	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B08622DF8Y.jpg
B085SJFXSR	17.99	17.99	17.99	0.0	0	0	13	0.0	0.0	0.0	Kinder Süßer kleiner 9. Geburtstag | 9 Jahre Camouflage T-Shirt	99	2020-03-11	['Hast du deinen 9. Geburtstag? Dies ist ein perfektes Geschenk für Geburtstagsfeiern, am besten für lustige, coole Kinder, Jugendliche, Jungen, Mädchen, die Soldaten lieben. Überprüfen Sie unsere Marke oben, um mehr Designs zu erhalten.', 'Diese lustige lustige Geschenkidee zum 9. Geburtstag ist am besten für Geburtstagsfeiern, ist ein perfektes Geschenk für Geburtstag oder Weihnachten, entworfen für Freunde und Familie.', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SJFXSR.jpg
B089LCLX8D	17.99	17.99	17.99	0.0	0	0	9	0.0	0.0	0.0	Herren Stefan Design das L steht für Gefahr witziges Outfit T-Shirt	16	2020-06-02	['Cooles und ironisches Stefan Design das L steht für Gefahr.', 'Witziges Design für alle die Stefan heißen. Perfekt auch als Geschenk für Deinen Stefan.', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCLX8D.jpg
B089LCR17L	17.99	17.99	17.99	0.0	0	0	12	0.0	0.0	0.0	Urlaub in Haustralien 2020 Lustig Wir Bleiben Daheim T-Shirt	16	2020-06-02	['Haustralien 2020', 'Haustralien 2020', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCR17L.jpg
B089MN32X4	17.99	17.99	17.99	0.0	0	0	9	0.0	0.0	0.0	Keine Panik ich bin Hausmeister Spruch Geschenk T-Shirt	15	2020-06-03	['Lustiges Hausmeister Design für jeden Hausverwalter, Hausbetreuer, Hauswart, Handwerker, Haustechniker, Heimwerker, Gebäude Meister und Hausmeisterin. Geschenkidee für Männer und Frauen zum Geburtstag, Weihnachten, Vatertag und Muttertag.', 'Facility Manager Beruf Design als Geschenk für alle, die Berufung in der Reparatur und Wartung im Haus finden, bei der Arbeit mit Werkzeug reparieren. Lustig für Kollegen im Job oder Ausbildung, die im Handwerk und Service arbeiten.', 'Unifarben: 100% Baumwolle; Grau meliert: 90% Baumwolle, 10% Polyester; Alle anderen melierten Farben: 50% Baumwolle, 50% Polyester', 'Pflegehinweis: Maschinenwäsche kalt mit ähnlichen Farben, trocknergeeignet bei niedrigen Temperaturen', 'Klassisch geschnitten, doppelt genähter Saum.']	https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089MN32X4.jpg
